data_provider,region,lat,lon,severity,year,month,day,season,hour,minute,second,am,bacteria_counts,log_density,log_distance_to_water_m
Indiana_State_Department_of_Health,midwest,39.08031907,-86.43086667,1,2018,5,14,spring,15,0,0,0,<20K,6.371611847231857,0.0
California_Environmental_Data_Exchange_Network,west,36.5597,-121.51,4,2016,8,31,summer,16,15,0,0,1M - <10M,15.584939206707316,8.163940954755008
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.87508324,-78.87843428,1,2020,11,19,fall,0,1,0,1,<20K,5.66988092298052,6.2422232654551655
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.487,-79.06213296,1,2016,8,24,summer,0,1,0,1,<20K,7.3864708488298945,4.859812404361672
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.04947082,-99.82700111,3,2019,7,23,summer,0,1,0,1,100K - <1M,11.624690428301049,2.9444389791664403
Indiana_State_Department_of_Health,midwest,39.474744,-86.898353,4,2021,8,23,summer,15,15,0,0,1M - <10M,14.517276985858853,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64774247,-79.2717821,1,2017,11,15,fall,0,1,0,1,<20K,7.374001859350161,6.610696044717759
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90688526,-79.13296163,1,2020,6,10,summer,0,1,0,1,<20K,8.261784679514752,6.651571873589727
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72652194,-79.12545778,1,2014,8,12,summer,0,1,0,1,<20K,8.716044050161402,6.546785410760524
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.79168619,1,2018,6,27,summer,0,1,0,1,<20K,9.737610048158107,5.932245187448011
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86132514,-78.76832138,2,2013,11,6,fall,0,1,0,1,20K - <100K,10.035480261994625,6.891625897052253
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89623283,-79.04770491,3,2015,8,24,summer,0,1,0,1,100K - <1M,12.205722584265878,7.701652362642226
California_Environmental_Data_Exchange_Network,west,33.0426,-117.076,4,2014,11,1,fall,17,43,0,0,1M - <10M,14.833996802153099,5.272999558563747
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.74668,-97.77936,1,2021,10,18,fall,0,1,0,1,<20K,9.48181684008103,0.0
US_Army_Corps_of_Engineers,northeast,40.703968,-80.29305,1,2015,8,26,summer,13,30,0,0,<20K,7.804251383528112,0.0
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.9725,-94.67293,3,2019,8,26,summer,0,1,0,1,100K - <1M,12.35922282502385,0.0
California_Environmental_Data_Exchange_Network,west,34.279,-118.905,4,2018,1,8,winter,1,40,0,1,1M - <10M,15.305601712765808,6.86171134048073
California_Environmental_Data_Exchange_Network,west,37.9718,-121.374,4,2015,8,18,summer,18,10,0,0,1M - <10M,14.357951121099516,0.0
EPA_National_Aquatic_Research_Survey,west,40.43393,-105.0334,2,2017,7,28,summer,0,1,0,1,20K - <100K,11.115428526511241,0.0
California_Environmental_Data_Exchange_Network,west,38.0201,-122.259,4,2015,7,7,summer,20,25,0,0,1M - <10M,15.221607546380344,6.322565239927284
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02639225,1,2018,6,13,summer,0,1,0,1,<20K,8.156223323194624,5.0369526024136295
California_Environmental_Data_Exchange_Network,west,33.8892,-117.562,4,2018,1,9,winter,17,20,0,0,1M - <10M,15.623635381278593,4.882801922586371
California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,4,2013,7,9,summer,21,10,0,0,1M - <10M,14.163588049496962,6.1463292576688975
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90753745,-79.13818143,3,2020,8,13,summer,0,1,0,1,100K - <1M,12.733357076959432,6.210600077024653
US_Army_Corps_of_Engineers,northeast,39.820323,-79.921575,1,2013,8,17,summer,15,35,0,0,<20K,4.406719247264253,0.0
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.691,-100.924,3,2018,8,13,summer,0,1,0,1,100K - <1M,12.576946308868719,0.0
California_Environmental_Data_Exchange_Network,west,36.6519,-120.632,3,2017,3,9,spring,18,30,0,0,100K - <1M,12.431274077953827,6.263398262591624
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.115,-78.90875883,2,2013,7,29,summer,0,1,0,1,20K - <100K,11.192913019687698,5.062595033026967
Pennsylvania_Department_of_Environmental_Protection,northeast,39.90293,-75.18015,1,2017,12,5,winter,17,30,0,0,<20K,9.223552703448318,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70355347,-79.16811922,1,2019,6,6,summer,0,1,0,1,<20K,8.242229891372231,6.218600119691729
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11497779,1,2020,2,26,winter,0,1,0,1,<20K,7.686162303492906,5.43372200355424
Pennsylvania_Department_of_Environmental_Protection,northeast,40.82201,-77.46996,1,2018,4,11,spring,14,45,0,0,<20K,7.144407180321139,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.41,-78.3,1,2020,5,18,spring,0,1,0,1,<20K,6.769641976852503,3.828641396489095
US_Army_Corps_of_Engineers,northeast,41.292492,-80.45833,2,2016,7,20,summer,17,0,0,0,20K - <100K,11.080325514454746,0.0
