uid,data_provider,region,lat,lon,date,time,abun,severity,distance_to_water_m
aabm,Indiana_State_Department_of_Health,midwest,39.08031907,-86.43086667,20180514,15:00:00,0.585,1,0
aabn,California_Environmental_Data_Exchange_Network,west,36.5597,-121.51,20160831,16:15:00,5867.5,4,3512
aacd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.87508324,-78.87843428,20201119,0:01:00,0.29,1,514
aaee,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.487,-79.06213296,20160824,0:01:00,1.614,1,129
aaff,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.04947082,-99.82700111,20190723,0:01:00,111.825,3,19
aafl,Indiana_State_Department_of_Health,midwest,39.474744,-86.898353,20210823,15:15:00,2017.313,4,0
aafp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64774247,-79.2717821,20171115,0:01:00,1.594,1,743
aagm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90688526,-79.13296163,20200610,0:01:00,3.873,1,774
aahy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72652194,-79.12545778,20140812,0:01:00,6.1,1,697
aaia,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.79168619,20180627,0:01:00,16.943,1,377
aaie,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86132514,-78.76832138,20131106,0:01:00,22.822,2,984
aaig,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89623283,-79.04770491,20150824,0:01:00,199.93,3,2212
aair,California_Environmental_Data_Exchange_Network,west,33.0426,-117.076,20141101,17:43:00,2769,4,195
aajk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.74668,-97.77936,20211018,0:01:00,13.119,1,0
aajw,US_Army_Corps_of_Engineers,northeast,40.703968,-80.29305,20150826,13:30:00,2.451086957,1,0
aalr,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.9725,-94.67293,20190826,0:01:00,233.1,3,0
aalw,California_Environmental_Data_Exchange_Network,west,34.279,-118.905,20180108,1:40:00,4437.5,4,955
aamg,California_Environmental_Data_Exchange_Network,west,37.9718,-121.374,20150818,18:10:00,1720.2,4,0
aamp,EPA_National_Aquatic_Research_Survey,west,40.43393,-105.0334,20170728,0:01:00,67.2,2,0
aaoj,California_Environmental_Data_Exchange_Network,west,38.0201,-122.259,20150707,20:25:00,4080,4,557
aaoy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02639225,20180613,0:01:00,3.485,1,154
aapj,California_Environmental_Data_Exchange_Network,west,33.8892,-117.562,20180109,17:20:00,6099,4,132
aaqc,California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,20130709,21:10:00,1416.3425,4,467
aaqd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90753745,-79.13818143,20200813,0:01:00,338.865,3,498
aaqf,US_Army_Corps_of_Engineers,northeast,39.820323,-79.921575,20130817,15:35:00,0.08229927,1,0
aaql,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.691,-100.924,20180813,0:01:00,289.8,3,0
aaqq,California_Environmental_Data_Exchange_Network,west,36.6519,-120.632,20170309,18:30:00,250.5155,3,525
aarj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.115,-78.90875883,20130729,0:01:00,72.614,2,158
aarq,Pennsylvania_Department_of_Environmental_Protection,northeast,39.90293,-75.18015,20171205,17:30:00,10.133,1,0
aauw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70355347,-79.16811922,20190606,0:01:00,3.798,1,502
aauy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11497779,20200226,0:01:00,2.178,1,229
aava,Pennsylvania_Department_of_Environmental_Protection,northeast,40.82201,-77.46996,20180411,14:45:00,1.267,1,0
aavi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.41,-78.3,20200518,0:01:00,0.871,1,46
aavk,US_Army_Corps_of_Engineers,northeast,41.292492,-80.45833,20160720,17:00:00,64.8825,2,0
aaxb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72292896,-79.13213135,20180827,0:01:00,45.747,2,928
aaxc,California_Environmental_Data_Exchange_Network,west,34.446,-119.876,20200318,19:50:00,3117.5,4,764
aaxe,California_Environmental_Data_Exchange_Network,west,37.2486,-120.851,20190117,20:15:00,6450,4,488
aays,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.12106,-95.41118,20180827,0:01:00,68.04,2,0
abau,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68223511,-79.20771577,20160621,0:01:00,23.236,2,1336
abbf,California_Environmental_Data_Exchange_Network,west,37.6003,-121.224,20150113,16:00:00,3885,4,1306
abbz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71542362,-79.14607171,20160608,0:01:00,0.581,1,453
abcg,California_Environmental_Data_Exchange_Network,west,37.4583,-120.967,20160308,17:50:00,240.746,3,881
abcx,California_Environmental_Data_Exchange_Network,west,38.0505,-121.418,20130115,16:20:00,778.0685,3,19
abdc,California_Environmental_Data_Exchange_Network,west,36.9818,-120.221,20210714,18:00:00,3259.5215,4,3662
