uid,data_provider,region,lat,lon,date,time,abun,severity,distance_to_water_m,month,season,is_near_water,abundance_class
aabm,Indiana_State_Department_of_Health,midwest,39.08031907,-86.43086667,2018-05-14,15:00:00,0.585,1,0.0,5,Spring,True,Low
aabn,California_Environmental_Data_Exchange_Network,west,36.5597,-121.51,2016-08-31,16:15:00,5867.5,4,3512.0,8,Summer,False,High
aacd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.87508324,-78.87843428,2020-11-19,0:01:00,0.29,1,514.0,11,Autumn,False,Low
aaee,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.487,-79.06213296,2016-08-24,0:01:00,1.614,1,129.0,8,Summer,False,Low
aaff,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.04947082,-99.82700111,2019-07-23,0:01:00,111.825,3,19.0,7,Summer,True,Moderate
aafl,Indiana_State_Department_of_Health,midwest,39.474744,-86.898353,2021-08-23,15:15:00,2017.313,4,0.0,8,Summer,True,High
aafp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64774247,-79.2717821,2017-11-15,0:01:00,1.594,1,743.0,11,Autumn,False,Low
aagm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90688526,-79.13296163,2020-06-10,0:01:00,3.873,1,774.0,6,Summer,False,Low
aahy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72652194,-79.12545778,2014-08-12,0:01:00,6.1,1,697.0,8,Summer,False,Low
aaia,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.79168619,2018-06-27,0:01:00,16.943,1,377.0,6,Summer,False,Low
aaie,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86132514,-78.76832138,2013-11-06,0:01:00,22.822,2,984.0,11,Autumn,False,Low
aaig,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89623283,-79.04770491,2015-08-24,0:01:00,199.93,3,2212.0,8,Summer,False,Moderate
aair,California_Environmental_Data_Exchange_Network,west,33.0426,-117.076,2014-11-01,17:43:00,2769.0,4,195.0,11,Autumn,False,High
aajk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.74668,-97.77936,2021-10-18,0:01:00,13.119,1,0.0,10,Autumn,True,Low
aajw,US_Army_Corps_of_Engineers,northeast,40.703968,-80.29305,2015-08-26,13:30:00,2.451086957,1,0.0,8,Summer,True,Low
aalr,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.9725,-94.67293,2019-08-26,0:01:00,233.1,3,0.0,8,Summer,True,Moderate
aalw,California_Environmental_Data_Exchange_Network,west,34.279,-118.905,2018-01-08,1:40:00,4437.5,4,955.0,1,Winter,False,High
aamg,California_Environmental_Data_Exchange_Network,west,37.9718,-121.374,2015-08-18,18:10:00,1720.2,4,0.0,8,Summer,True,Moderate
aamp,EPA_National_Aquatic_Research_Survey,west,40.43393,-105.0334,2017-07-28,0:01:00,67.2,2,0.0,7,Summer,True,Moderate
aaoj,California_Environmental_Data_Exchange_Network,west,38.0201,-122.259,2015-07-07,20:25:00,4080.0,4,557.0,7,Summer,False,High
aaoy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02639225,2018-06-13,0:01:00,3.485,1,154.0,6,Summer,False,Low
aapj,California_Environmental_Data_Exchange_Network,west,33.8892,-117.562,2018-01-09,17:20:00,6099.0,4,132.0,1,Winter,False,High
aaqc,California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,2013-07-09,21:10:00,1416.3425,4,467.0,7,Summer,False,Moderate
aaqd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90753745,-79.13818143,2020-08-13,0:01:00,338.865,3,498.0,8,Summer,False,Moderate
aaqf,US_Army_Corps_of_Engineers,northeast,39.820323,-79.921575,2013-08-17,15:35:00,0.08229927,1,0.0,8,Summer,True,Low
aaql,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.691,-100.924,2018-08-13,0:01:00,289.8,3,0.0,8,Summer,True,Moderate
aaqq,California_Environmental_Data_Exchange_Network,west,36.6519,-120.632,2017-03-09,18:30:00,250.5155,3,525.0,3,Spring,False,Moderate
aarj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.115,-78.90875883,2013-07-29,0:01:00,72.614,2,158.0,7,Summer,False,Moderate
aarq,Pennsylvania_Department_of_Environmental_Protection,northeast,39.90293,-75.18015,2017-12-05,17:30:00,10.133,1,0.0,12,Winter,True,Low
aauw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70355347,-79.16811922,2019-06-06,0:01:00,3.798,1,502.0,6,Summer,False,Low
aauy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11497779,2020-02-26,0:01:00,2.178,1,229.0,2,Winter,False,Low
aava,Pennsylvania_Department_of_Environmental_Protection,northeast,40.82201,-77.46996,2018-04-11,14:45:00,1.267,1,0.0,4,Spring,True,Low
aavi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.41,-78.3,2020-05-18,0:01:00,0.871,1,46.0,5,Spring,True,Low
aavk,US_Army_Corps_of_Engineers,northeast,41.292492,-80.45833,2016-07-20,17:00:00,64.8825,2,0.0,7,Summer,True,Moderate
aaxb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72292896,-79.13213135,2018-08-27,0:01:00,45.747,2,928.0,8,Summer,False,Low
aaxc,California_Environmental_Data_Exchange_Network,west,34.446,-119.876,2020-03-18,19:50:00,3117.5,4,764.0,3,Spring,False,High
aaxe,California_Environmental_Data_Exchange_Network,west,37.2486,-120.851,2019-01-17,20:15:00,6450.0,4,488.0,1,Winter,False,High
aays,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.12106,-95.41118,2018-08-27,0:01:00,68.04,2,0.0,8,Summer,True,Moderate
abau,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68223511,-79.20771577,2016-06-21,0:01:00,23.236,2,1336.0,6,Summer,False,Low
abbf,California_Environmental_Data_Exchange_Network,west,37.6003,-121.224,2015-01-13,16:00:00,3885.0,4,1306.0,1,Winter,False,High
abbz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71542362,-79.14607171,2016-06-08,0:01:00,0.581,1,453.0,6,Summer,False,Low
abcg,California_Environmental_Data_Exchange_Network,west,37.4583,-120.967,2016-03-08,17:50:00,240.746,3,881.0,3,Spring,False,Moderate
