STATE_ID,DESCRIPTION,Unnamed: 2,LATITUDE,LONGITUDE,SAMPLE_DATE,SAMPLE_TIME,SAMPLE_DEPTH,GENUS,SPECIES,CATEGORY,CELLCOUNT,CELLCOUNT_UNIT,CELLCOUNT_QA,SALINITY,SALINITY_UNIT,SALINITY_QA,WATER_TEMP,WATER_TEMP_UNIT,WATER_TEMP_QA,WIND_DIR,WIND_DIR_UNIT,WIND_DIR_QA,WIND_SPEED,WIND_SPEED_UNIT,WIND_SPEED_QA,OBJECTID,Unnamed: 27,HAB_EVENT,STABLE_EVENT_ID
FL,Long Key; 1.3 mi S of,,24.79667,-80.78388,18/01/2015,19:00,1,Karenia,brevis,not observed,0,cells/L,1,39,ppt,1,22.2,deg. C,1,,,9,,,9,1761855,,0,20150118_24.7967_-80.7839_0
FL,New Pass Dock (Sarasota Bay),,27.33375,-82.57938,19/01/2015,14:25,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1770216,,0,20150119_27.3338_-82.5794_0
FL,San Sebastian (Matanzas River),,29.8694,-81.3077,20/01/2015,16:21,0.3,Karenia,brevis,not observed,0,cells/L,1,29.19,ppt,1,13.2,deg. C,1,,,9,,,9,1778842,,0,20150120_29.8694_-81.3077_0
FL,South Marco Beach,,25.91165,-81.72805,20/01/2015,15:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,21,deg. C,1,,,9,,,9,1784871,,0,20150120_25.9117_-81.728_0
FL,Caspersen Beach,,27.05703,-82.4436,20/01/2015,15:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1743290,,0,20150120_27.057_-82.4436_0
FL,Bald Point; 1.2 mi NE of,,29.95817,-84.32367,21/01/2015,19:10,0.5,Karenia,brevis,not observed,0,cells/L,1,27,ppt,1,,,9,,,9,,,9,1731970,,0,20150121_29.9582_-84.3237_0
FL,Archie Carr National Wildlife Refuge; 1 mi W of (Indian River),,28.00051,-80.54591,21/01/2015,15:18,0.5,Karenia,brevis,not observed,0,cells/L,1,23,ppt,1,17.5,deg. C,1,,,9,,,9,1731319,,0,20150121_28.0005_-80.5459_0
FL,Caspersen Beach,,27.05703,-82.4436,26/01/2015,15:50,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1743291,,0,20150126_27.057_-82.4436_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,28/01/2015,13:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1734196,,0,20150128_27.3316_-82.5779_0
FL,Quick Point (New Pass),,27.33717,-82.58067,29/01/2015,16:30,0.5,Karenia,brevis,not observed,0,cells/L,1,33.6,ppt,1,16.5,deg. C,1,,,9,,,9,1775998,,0,20150129_27.3372_-82.5807_0
FL,Deadmans Key; SW of (Barge Canal),,28.98217,-82.77666,29/01/2015,15:50,0.5,Karenia,brevis,not observed,0,cells/L,1,18.1,ppt,1,13.3,deg. C,1,,,9,,,9,1747738,,0,20150129_28.9822_-82.7767_0
FL,Venice Beach,,27.10034,-82.46089,02/02/2015,15:50,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1790521,,0,20150202_27.1003_-82.4609_0
FL,Clearwater Pass,,27.96035,-82.8243,02/02/2015,19:42,0.5,Karenia,brevis,not observed,0,cells/L,1,33.28,ppt,1,16.8,deg. C,1,,,9,,,9,1745494,,0,20150202_27.9604_-82.8243_0
